[2026-04-23 09:51:53] Queue watcher started. Waiting on PID 20049 for current parity+NoPE+Ponder run.
[2026-04-23 11:24:54] Detected current NoPE run has finished. Launching parity+WPE-once+Ponder with n_steps=20.
Launching WPE-once Ponder run: {'task': 'parity', 'output_root': '/data/yizhou/looped-tf-length-generalization/models/wpe_once_baselines', 'seed': 42, 'beta': 0.01, 'prior_lambda': 0.2, 'dynamic_n': False, 'n_steps': 20, 'use_wpe': True, 'wpe_mode': 'once', 'use_rope': False}

  0%|          | 0/100001 [00:00<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 0/100001 [00:01<?, ?it/s]
loss=2.2107 rec=2.2054 kl=0.5324 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=1.8229 rec=1.8177 kl=0.5242 n_points=2:   0%|          | 1/100001 [00:01<41:30:12,  1.49s/it]
loss=0.0009 rec=0.0009 kl=0.0041 n_points=2:   0%|          | 65/100001 [00:05<1:45:09, 15.84it/s]
loss=0.0009 rec=0.0009 kl=0.0038 n_points=2:   0%|          | 65/100001 [00:05<1:45:09, 15.84it/s]
loss=0.0009 rec=0.0009 kl=0.0038 n_points=2:   0%|          | 67/100001 [00:05<1:43:27, 16.10it/s]
loss=0.0009 rec=0.0009 kl=0.0035 n_points=2:   0%|          | 67/100001 [00:05<1:43:27, 16.10it/s]
loss=0.0009 rec=0.0008 kl=0.0031 n_points=2:   0%|          | 67/100001 [00:05<1:43:27, 16.10it/s]
loss=0.0009 rec=0.0008 kl=0.0031 n_points=2:   0%|          | 69/100001 [00:05<1:42:11, 16.30it/s]
loss=0.0009 rec=0.0008 kl=0.0027 n_points=2:   0%|          | 69/100001 [00:05<1:42:11, 16.30it/s]
loss=0.0008 rec=0.0008 kl=0.0022 n_points=2:   0%|          | 69/100001 [00:05<1:42:11, 16.30it/s]
loss=0.0008 rec=0.0008 kl=0.0022 n_points=2:   0%|          | 71/100001 [00:05<1:41:10, 16.46it/s]
loss=0.0008 rec=0.0008 kl=0.0022 n_points=2:   0%|          | 71/100001 [00:06<1:41:10, 16.46it/s]
